Label	Bio1_Mean	Bio1_STD	Bio1_Percentile_10	Bio1_Percentile_25	Bio1_Percentile_50	Bio1_Percentile_75	Bio1_Percentile_90	Bio2_Mean	Bio2_STD	Bio2_Percentile_10	Bio2_Percentile_25	Bio2_Percentile_50	Bio2_Percentile_75	Bio2_Percentile_90	Bio3_Mean	Bio3_STD	Bio3_Percentile_10	Bio3_Percentile_25	Bio3_Percentile_50	Bio3_Percentile_75	Bio3_Percentile_90	Bio4_Mean	Bio4_STD	Bio4_Percentile_10	Bio4_Percentile_25	Bio4_Percentile_50	Bio4_Percentile_75	Bio4_Percentile_90	Bio5_Mean	Bio5_STD	Bio5_Percentile_10	Bio5_Percentile_25	Bio5_Percentile_50	Bio5_Percentile_75	Bio5_Percentile_90	Bio6_Mean	Bio6_STD	Bio6_Percentile_10	Bio6_Percentile_25	Bio6_Percentile_50	Bio6_Percentile_75	Bio6_Percentile_90	Bio7_Mean	Bio7_STD	Bio7_Percentile_10	Bio7_Percentile_25	Bio7_Percentile_50	Bio7_Percentile_75	Bio7_Percentile_90	Bio8_Mean	Bio8_STD	Bio8_Percentile_10	Bio8_Percentile_25	Bio8_Percentile_50	Bio8_Percentile_75	Bio8_Percentile_90	Bio9_Mean	Bio9_STD	Bio9_Percentile_10	Bio9_Percentile_25	Bio9_Percentile_50	Bio9_Percentile_75	Bio9_Percentile_90	Bio10_Mean	Bio10_STD	Bio10_Percentile_10	Bio10_Percentile_25	Bio10_Percentile_50	Bio10_Percentile_75	Bio10_Percentile_90	Bio11_Mean	Bio11_STD	Bio11_Percentile_10	Bio11_Percentile_25	Bio11_Percentile_50	Bio11_Percentile_75	Bio11_Percentile_90	Bio12_Mean	Bio12_STD	Bio12_Percentile_10	Bio12_Percentile_25	Bio12_Percentile_50	Bio12_Percentile_75	Bio12_Percentile_90	Bio13_Mean	Bio13_STD	Bio13_Percentile_10	Bio13_Percentile_25	Bio13_Percentile_50	Bio13_Percentile_75	Bio13_Percentile_90	Bio14_Mean	Bio14_STD	Bio14_Percentile_10	Bio14_Percentile_25	Bio14_Percentile_50	Bio14_Percentile_75	Bio14_Percentile_90	Bio15_Mean	Bio15_STD	Bio15_Percentile_10	Bio15_Percentile_25	Bio15_Percentile_50	Bio15_Percentile_75	Bio15_Percentile_90	Bio16_Mean	Bio16_STD	Bio16_Percentile_10	Bio16_Percentile_25	Bio16_Percentile_50	Bio16_Percentile_75	Bio16_Percentile_90	Bio17_Mean	Bio17_STD	Bio17_Percentile_10	Bio17_Percentile_25	Bio17_Percentile_50	Bio17_Percentile_75	Bio17_Percentile_90	Bio18_Mean	Bio18_STD	Bio18_Percentile_10	Bio18_Percentile_25	Bio18_Percentile_50	Bio18_Percentile_75	Bio18_Percentile_90	Bio19_Mean	Bio19_STD	Bio19_Percentile_10	Bio19_Percentile_25	Bio19_Percentile_50	Bio19_Percentile_75	Bio19_Percentile_90
BJSW	8.490070177	3.282588466	5.478966641	6.442708492	8.213250041	10.15387511	11.09392514	8.067303575	1.701640384	6.494619799	7.157833219	7.796276569	8.491333246	9.912100124	31.51719956	6.863425891	25.58765221	27.41694641	30.56856155	34.1122818	37.21997547	670.1852163	183.8184165	519.9455017	564.2317505	648.5370789	733.072113	878.553894	22.76326254	2.941755093	20.40700054	21.01970625	21.90999985	23.28600025	26.41135559	-3.381918588	5.286337839	-10.15560007	-5.952999949	-2.677999973	-0.009000001	1.039600009	26.14518113	5.805490372	21.32100058	22.60500002	24.704	27.77199984	32.95637779	12.51784079	4.998581741	6.162333369	8.047500014	13.65683341	15.75016665	17.85633373	3.806845189	5.93931331	-2.177233317	0.542347245	3.164917588	6.152333379	10.77699995	16.88977243	2.48820665	15.02100015	15.57533336	16.2128334	17.33016682	19.71916676	0.499228127	4.961559759	-4.466678786	-2.097166598	0.519180261	3.43138361	4.346548796	729.540676	236.363854	537.75	583.5	681.5	800.25	941.5	87.28752914	49.37613738	62.5	69.25	76.75	87.25	114.75	37.67408702	14.7452098	23	28.25	35.5	47.25	52.5	26.32861157	17.30848563	13.21281085	17.43182278	21.86199427	29.22921276	38.75022888	243.0008159	127.2455718	175.6	189.75	216.25	248.25	316.75	127.3162393	46.26089901	81.45	98	118.75	158.5	175.4	214.4891608	107.7324066	157.5666667	180.25	198.5	213.75	266	156.9160062	63.82857065	98.75	118.5	147.5	191	218.75
YADI	9.137063798	2.600630363	5.629741621	7.189208269	9.327562451	11.12854171	12.23335195	10.77534993	1.303503878	8.966366696	9.866318583	10.98520839	11.74066687	12.30150032	29.49302092	3.406602165	25.46051979	27.20401382	28.9429388	31.58137608	33.895189	955.5517141	146.4986275	750.879892	894.3884888	962.3820496	1045.626129	1128.497217	27.71441459	2.310990979	24.63700008	26.08025038	27.98150015	29.40998268	30.39760022	-9.146577679	4.903491368	-15.59099984	-13.11600018	-9.020999908	-5.117000103	-3.259000003	36.86099229	5.010442861	29.80469933	34.62300014	36.90600014	40.44400024	42.66399956	16.80871348	5.881675344	7.91521672	14.66829175	18.79716659	20.7385006	22.16178355	-0.692464009	7.002678816	-7.436083305	-4.850666881	-2.237333357	1.0312794	6.909283471	20.60856938	2.208235966	17.60268307	18.89750767	20.61558342	22.36250019	23.27605066	-2.965082381	4.127473503	-8.385733223	-6.289000154	-3.054833353	0.546333358	2.087649947	985.0028078	181.6872974	768	852.5625	974.125	1133.25	1198.75	106.8296998	15.22468673	89.5	99	106.5	114.25	123.75	54.32164354	20.66546524	24	37.5	56.25	73.75	78.25	21.83597776	12.94990799	10.31105232	12.03610563	17.43878937	27.20410717	44.32408619	300.7936578	41.84547657	252.25	279.5	304	323.5	341.5	184.4263562	65.5277538	84	138	188.5	245.9375	265.25	284.7629744	45.42437907	230.25	260.75	291.5	313.25	331.25	193.4615448	70.76034848	85	142.75	198.5	255.5	274.5
CMFF	4.781792783	2.031775493	2.384139061	3.40441668	4.502083182	6.112257481	7.499916553	7.3715166	1.340420951	5.277033353	6.662416697	7.570000052	8.25274992	8.775999784	26.80374104	3.418461827	22.64332819	24.60868073	26.52528095	28.68581223	30.79507637	740.9488814	127.614471	577.3922882	647.6065674	731.4563904	834.6799164	902.4320984	19.92315777	2.165623246	16.58399963	18.64600039	20.63199997	21.22599983	21.82599974	-7.735580541	3.946177207	-12.75400019	-10.84799981	-7.876000047	-4.712000012	-2.606999993	27.65873832	4.843729238	21.16399956	24.1869998	27.47199917	31.56900072	33.69800186	9.388079307	4.566263912	3.467666686	5.66363883	9.93116641	13.36849976	14.4883337	1.497459477	4.6250123	-3.868766677	-2.354500115	0.821666628	4.934416652	8.093154669	14.21264135	1.647571583	12.06033325	13.20032859	14.50483322	15.28083324	15.86873894	-3.994561852	3.285093286	-8.167500019	-6.61833322	-4.211833358	-1.626812637	0.302133315	889.144361	366.2086032	599.75	646.25	753	1022.25	1379.75	105.5619176	44.39682552	73.25	79.5	86.5	119.5	162.25	43.93040333	17.15439852	28.5	31.25	38.25	53.75	67.75	27.97678393	5.677368578	21.29632092	24.74603415	28.47644663	31.66654134	34.06633282	295.3920169	123.9571357	205.5	220	246.5	329.25	446.5	148.7225735	58.43241952	95.75	105.25	130.5	180.25	233	238.8685526	52.26979739	190.5	208.5	229.5	256	300.25	211.6760564	132.5042168	113.25	124.25	155.5	255.25	404.25
TTRG	13.66103046	3.028698885	9.459516621	11.90350008	13.99045849	15.77883339	17.24319038	9.489362357	1.755412763	7.466884732	8.237083435	9.421666622	10.70050025	11.75560002	38.02969885	4.941252156	31.69756107	35.04664898	38.26941872	41.09769058	43.53447456	567.7008582	87.82497992	465.5113678	529.8685913	563.8488464	616.0243378	671.61763	27.6118334	3.407304815	22.85800009	25.4369998	27.50899982	30.5539999	32.15580006	2.651946606	3.382507105	-1.030915797	0.919	2.800999999	4.773999929	6.81387496	24.9598868	3.38965278	21.33545485	22.91699982	24.60599995	27.0619998	29.62199926	10.69058449	3.534716322	6.35009985	8.165499926	10.61933351	12.94916677	15.25870156	18.85886474	6.582586864	5.733133435	18.73983335	21.08333349	22.75399971	24.14368639	20.89487083	2.820310739	16.90093365	19.00216675	21.29433346	23.01833344	24.3953126	7.097888837	3.584592314	2.684033346	5.215000033	7.667833447	9.249499798	11.37339997	738.2693256	257.6485831	457.5	564.75	702	823.6666667	1071.5	102.6802254	37.32079099	64	77.75	96.5	117.25	152.25	22.18678465	18.63374041	2	6	16	36.5	47	44.09683257	24.0039679	15.83108468	24.2322793	41.76230907	57.60157585	72.54235649	280.8742736	104.2482972	173.4	213.25	260	316.75	417.1	89.99647825	60.3999225	18.25	37.25	85.25	141	161.75	109.2765011	77.27574406	22.25	41.5	96.5	172.25	206.5	249.250088	112.638165	130.05	176.75	224.5	289.25	407.15
NPND	9.408045228	1.999264879	6.790277799	9.368708611	9.621166468	9.840156138	10.41662502	7.567393223	0.97915306	6.572354794	7.112916708	7.540916562	7.984166741	8.536741662	33.42001495	4.456758954	26.85341597	32.60071421	34.32852077	35.34658051	35.9722414	568.8796962	93.64045688	515.4734116	525.3124542	537.4589081	584.6602631	695.6229858	22.12507896	1.765591163	20.75	21.31899977	21.80599976	22.28300047	23.85500002	-0.691179886	2.946679602	-4.83174026	-0.389000006	0.072000002	0.326000012	0.685000017	22.81625888	2.895319227	20.80600023	21.42000008	21.96799994	23.12200022	26.56099987	10.08520124	3.676759601	6.693333387	6.969333529	10.13318634	10.95633316	15.48850036	5.790787539	3.870453605	1.218066645	5.276791722	5.576999903	6.191166639	8.478840828	16.50587601	1.447199993	15.65783334	16.00783324	16.22049999	16.55183315	17.57438312	2.665634471	2.845606414	-1.024591525	2.703166664	3.309500098	3.557666659	3.865833282	776.2643925	133.7516059	590	733.25	808.25	830.75	847.75	84.66594071	20.41781908	66	76	85.5	91.5	95.5	43.60620884	9.356266386	30	42.75	45.75	47	49	20.4128978	8.018753756	14.43686814	16.44486809	19.30980158	23.01462984	27.09691443	240.7385634	54.75419431	184.75	215.25	242.5	261.75	274.25	150.8057742	31.438763	102.75	145	159.25	165.5	170.25	199.9002388	38.6435347	170.175	192.5	202	207	214.75	185.2449387	42.38864109	125	176.5	196	200.75	205.25
KNMB	11.9612905	4.112542502	7.629716611	9.246479154	11.42787504	14.58974457	17.81366644	9.160998722	1.807374312	7.257199907	8.14029181	8.880333662	9.979624987	11.68298306	36.34998052	5.918490029	31.10749903	33.28630447	35.90529823	39.29456282	41.1343462	603.2240018	120.0656978	492.4760193	569.5902176	603.5694733	658.2259598	698.2912567	26.09015422	4.22598127	21.48339949	23.22700024	25.1619997	28.58249998	31.24159975	0.687465524	4.688658107	-3.80259999	-1.72299999	0.528999992	3.20450002	5.958999991	25.40268868	4.065646785	21.58979969	23.78800035	25.29300022	27.70250034	29.84739943	11.97502619	4.515692932	5.996700025	8.380499959	11.75200009	15.67783308	16.98186684	13.26228328	9.292389263	1.131133324	5.132416725	17.35433388	21.51583362	24.15067768	19.54934666	3.692990595	15.80856681	17.07424998	18.53049994	21.81133318	24.35956707	4.854205931	4.962672414	-0.123166669	1.645749994	4.504500031	7.668333292	11.48603972	722.6376812	247.6736819	425	574.125	700.25	856.25	1056.7	96.38647343	45.4536808	62.65	73.625	85.75	109.375	128.6	32.7020934	21.10516426	1.75	15.625	35.75	48.625	55.65	36.87130682	27.32253272	11.02978015	14.54011273	30.40163851	43.41716337	84.32941628	257.4573269	114.9349401	173.65	199.25	227	295	359.7	113.5821256	65.78160868	9.25	68.75	122.25	159.625	188.35	155.7701288	110.9791816	18.2	81.125	160	208	265.05	195.5575684	75.7105499	100.9	157.625	186.75	238.25	297
VMNH	10.94515581	3.509328649	7.775863775	8.742516279	10.12662506	12.23874998	16.94500818	8.469458836	1.525336649	6.85863328	7.514374971	8.236500025	9.211374879	10.48125019	35.12227564	4.520733887	29.72717752	32.75599766	34.58848953	38.19428444	40.95924664	588.0622265	97.53016653	472.4223409	539.9039154	573.2088013	653.3031464	682.0113403	24.40238681	3.802841262	20.73420029	21.97799969	23.23899984	25.78299975	30.67100048	0.219901522	3.722768849	-3.597000003	-1.787000015	0.432000004	1.651000023	5.387827047	24.18248529	3.42967122	20.10583382	22.30878385	24.00400019	26.06450009	27.53412104	11.33322218	4.406892305	5.679800081	7.489166856	11.33249974	15.4614166	16.92833319	10.00804275	8.303315716	2.530266678	4.638000011	6.254500151	18.71875	23.85336685	18.31723915	3.284200802	15.53149986	16.38262026	17.17983294	19.34866619	24.13183355	3.983372134	4.064726219	-0.162051787	1.382750019	3.672166646	5.663916647	10.58646669	721.9595635	183.7004788	495.65	618.875	723.75	802.5	913.25	86.48883422	26.4906135	63.5	71.5	79.25	94	116	37.96366389	18.8351652	5	28.125	44.25	49.75	55.75	28.60341902	25.29584468	11.66547489	14.38894904	18.30635929	30.41199183	59.51142731	238.0684877	69.83322554	175	197	222.75	254.625	320.75	128.3662209	57.24972192	30	101	144.25	164	181.75	171.5477122	85.35224816	34.55	145.25	188	208	234.75	193.3929893	65.76419878	127	159.5	185.5	211.875	268.7
HABV	5.286517916	3.58439648	0.146249987	1.972583354	6.120666623	7.990958452	9.374000216	8.111326443	1.19991613	6.286499929	7.379583359	8.265583277	8.922749996	9.574333429	32.28793401	2.774156114	28.35220613	30.45311975	32.89245987	34.14655972	35.19893456	620.2028161	37.52603438	592.6350403	611.6912689	624.4545441	635.3209229	648.6430359	19.42078344	4.256103816	13.05919995	16.21200037	20.44200039	22.59800005	24.44959993	-5.568352888	3.217010195	-10.13579988	-8.41350013	-4.850000024	-3.351500019	-2.16539996	24.98913637	2.000799558	22.69400072	24.05399942	25.1500001	26.17149973	27.37300014	3.844331606	5.712270781	-3.839833274	-1.229333282	4.101833254	8.046166897	10.67416658	10.09225013	6.201690499	1.663866681	7.274833441	11.09516668	14.84249997	16.57183361	13.17571506	3.611581306	7.803999901	10.06483316	13.88216639	15.93049991	17.25250006	-1.782118356	3.394454065	-6.581166649	-4.809916705	-1.068666677	0.704833319	1.894333333	1234.976022	205.9384083	958.75	1113.75	1254.5	1367.5	1457.25	135.2897213	21.85276053	107.75	121.5	136.75	152	161	68.45855954	16.73694202	46.85	59.5	69.5	76.5	92	19.05541019	5.125517203	12.33377266	15.71302176	19.0028429	21.20268583	25.70279226	377.3233804	63.14022236	303.5	340	378.25	413.75	452.75	241.9782845	45.93387826	177.35	219.375	247.25	269	299	264.5197249	67.21329555	198.75	237	255.75	276	334.5	316.3481723	70.27484995	225.2	269.75	316	364.5	396
KZED	10.55343763	1.856408193	8.494958401	9.420916677	10.07108307	11.4281249	13.50975013	11.35644184	0.898926695	10.10983348	10.84570837	11.46674991	11.79883337	12.47924995	30.82968867	3.502629547	26.94581795	28.18847513	29.88398695	33.04769325	35.36239052	948.2118629	88.95031842	818.9923096	901.8773499	933.3393097	1023.050171	1058.051819	29.15737277	1.358066709	27.49599981	28.3659997	29.28899956	30.05900002	30.8319993	-7.86844704	2.960515025	-11.07200003	-9.70449996	-7.933000207	-6.266499937	-3.974999964	37.02581986	2.469514736	34.07299995	35.54649973	36.70400047	38.47650003	40.5720005	19.47329594	3.875942485	15.95650005	19.22249985	20.51566648	21.67883396	22.22116709	-0.638369645	4.696146952	-4.346333146	-3.283416718	-1.243999988	0.127499989	2.512333393	21.94370394	1.342961244	20.35583305	21.24766636	22.02750015	22.5818758	24.0513339	-1.504782913	2.911107632	-4.346333146	-3.668416679	-1.866333395	0.053666656	2.467499971	1036.5	157.4452107	848.25	925.25	1007	1147.25	1235.75	110.1126126	13.03778892	98	101.875	107.5	117.25	127.25	57.17342342	19.14371303	32.25	39.25	59.5	74.75	78	20.32152431	8.859127134	11.10104465	12.31411827	17.58880329	26.9562006	32.9552002	311.795045	31.84009877	278.25	293.625	308.5	323.25	349.25	196.8671171	59.15519956	123	147.5	199.5	252.5	268	303.0855856	28.26743454	274.25	290	300	315	341.25	200.4842342	64.05137014	123	147.5	200.25	256	273
CSUV	7.930401339	1.650043133	6.034645081	7.535208344	8.208409548	8.776148319	9.55844183	5.6478809	1.01777806	4.399320126	4.894781828	5.612333417	6.447534442	6.948249936	31.00644097	6.06491069	22.8923645	25.66972923	30.72067738	36.71501255	38.43117142	492.3462141	127.7895148	335.057991	373.5962677	479.1613617	609.3498535	651.8851929	18.24109001	2.186771596	15.3778574	16.37761021	18.19511223	20.27922746	20.6582365	-0.438625246	2.802617609	-3.840190113	-2.121630691	-0.405267864	1.791015595	2.866666635	18.67971526	3.855643047	13.5048244	15.30500728	18.59200048	21.97499847	23.44627333	8.127129201	3.8159513	4.037027717	5.906547546	7.47969985	9.683333397	15.21618875	7.008352531	3.468303163	2.721333265	3.334259351	8.037270784	9.886854172	10.55270576	14.17770274	1.770060985	11.87564554	12.90988111	13.98240066	15.77793121	16.41141605	2.291918937	2.603785142	-0.616587512	0.685555525	2.014305562	4.391574144	5.369423151	1131.797975	527.0880204	582.5	677.3333333	1019	1469	1931.25	132.6606261	66.76602971	64	73	118.75	177	233.75	55.99603493	22.66703963	29.75	38	51.75	69.75	89	26.69365596	5.533388983	19.51943779	22.24283683	26.63602638	31.39033818	33.69944572	378.7484006	191.1697313	180	210.3333333	340.75	501	669.95	184.2584062	71.67429986	103.5	126	170.25	229	289.5	246.9082232	82.12891641	164.75	179.5	214	309.5	374.6666667	311.937169	178.5364038	127.5	159	283.25	429.5	569.975
